HRV_Feature,Mean_Diff_0.5-10Hz_vs_0.2-10Hz_%,Mean_Diff_0.5-10Hz_vs_0.5-8Hz_%,Mean_Diff_0.2-10Hz_vs_0.5-8Hz_%,Max_Diff_0.5-10Hz_vs_0.2-10Hz_%,Max_Diff_0.5-10Hz_vs_0.5-8Hz_%,Max_Diff_0.2-10Hz_vs_0.5-8Hz_%
HR_mean,0.13,0.91,0.82,0.39,2.47,2.14
HR_std,0.52,5.69,5.49,1.64,12.05,11.13
meanNN,0.12,1.2,1.09,0.34,2.71,2.63
SDNN,0.42,8.72,8.71,1.04,14.58,13.91
medianNN,0.15,0.92,0.83,0.33,3.16,3.06
meanSD,0.62,8.72,8.83,1.44,16.76,16.41
SDSD,0.54,10.27,10.12,1.17,15.9,15.2
RMSSD,0.57,9.4,9.41,1.16,15.53,15.16
pNN20,0.47,1.25,1.41,0.85,3.82,3.55
pNN50,0.46,2.75,2.98,0.98,7.36,7.58
TINN,0.4,9.44,9.55,1.13,14.66,14.27
0,0.0,0.38,0.38,0.0,1.18,1.18
1,0.0,0.96,0.96,0.0,3.08,3.08
